fid,Shape_Leng,Shape_Area,ADM4_EN,ADM4_PCODE,ADM4_REF,ADM4ALT1EN,ADM4ALT2EN,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,F_25_to_29sum,F_15_to_19sum,M_15_to_19sum,F_1_to_4sum,M_0_to_1sum,F_0_to_1sum,M_30_to_34sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,F_20_to_24sum,M_5_to_9sum,M_1_to_4sum,F_30_to_34sum,M_20_to_24sum,F_5_to_9sum,F_35_to_39sum,M_25_to_29sum
"1",0.286381719516,0.00194375981702,Abaipur,"40448010",,,,Shailkupa,"404480",Jhenaidah,"4044",Khulna,"40",Bangladesh,BD,2015/01/01,2018/04/10,,947.132471740246,752.099180281162,821.297619596124,582.396237656474,147.870755501091,145.118791043758,784.963243365288,917.11790625751,852.448972418904,768.180394381285,942.130252987146,828.373619690537,593.055009365082,852.535967797041,698.424501642585,801.497516259551,818.152636960149,796.614965856075
"2",0.0985973663588,0.000316595890528,Abdullahpur,"30599411",,,,Tongibari,"305994",Munshiganj,"3059",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,878.045431017876,875.726300895214,834.781635582447,602.07232427597,156.050291702151,150.021577015519,682.287091732025,905.142613649368,851.925583541393,680.376159667969,932.085715949535,847.169919013977,625.860060155392,744.854911267757,706.425833463669,796.30774885416,693.147211790085,716.789751648903
"3",0.170050708627,0.00105512581912,Abdullapur,"10092513",,,,Char Fasson,"100925",Bhola,"1009",Barisal,"10",Bangladesh,BD,2015/01/01,2018/04/10,,302.134322494268,279.534477889538,285.463373959064,273.191113352776,69.9893773086369,68.0724934786558,231.780419319868,390.171023666859,360.666014507413,225.055627942085,316.361345693469,401.397013783455,280.701545059681,248.727841809392,201.696799404919,384.025979936123,219.100995287299,235.287208065391
"4",0.0558607307136,0.000171951367251,Abdullapur,"20153311",,,,Fatikchhari,"201533",Chittagong,"2015",Chittagong,"20",Bangladesh,BD,2015/01/01,2018/04/10,,120.140998244286,139.17935359478,132.079560875893,84.0854761302471,21.6948945522308,20.9520293325186,95.4957377910614,129.889672726393,121.479813307524,90.9420704841614,140.59471642971,117.631601452827,87.0102080702782,96.7096852362156,121.053234726191,111.51383638382,91.0788763463497,109.26414757967
"5",0.312536206706,0.00223492218084,Abdulpur,"40507916",,,,Kushtia Sadar,"405079",Kushtia,"4050",Khulna,"40",Bangladesh,BD,2015/01/01,2018/04/10,,1238.76336288452,963.293735742569,1064.94046156108,762.446201652288,195.153399571776,189.98280679062,1038.00496146083,1175.32297728956,1083.32066729665,994.94876101613,1230.36511734128,1084.94881376624,782.688258856535,1109.97976976633,911.354010030627,1047.03193561733,1050.47803543508,1037.19961544871
"6",0.302947968218,0.00322211696959,Abdulpur,"55273013",,,,Chirirbandar,"552730",Dinajpur,"5527",Rangpur,"55",Bangladesh,BD,2015/01/01,2018/04/10,,2332.71302005649,1884.59040249884,2116.2573569864,1586.81147903204,409.578706454486,395.394323050976,1910.89265666902,2255.54428814352,2050.46338388324,1903.53563849628,2307.38201935589,2211.00875367224,1642.66889165342,1986.18286989629,1707.8864595145,2097.1778010577,1962.09263972938,1951.81446097791
"7",0.261224386047,0.00170390011689,Abu Bakarpur,"10092511",,,,Char Fasson,"100925",Bhola,"1009",Barisal,"10",Bangladesh,BD,2015/01/01,2018/04/10,,733.55789732933,678.687288284302,693.082171365619,663.286107763648,169.928593754768,165.274553395808,562.744265161455,947.303945302963,875.668150350451,546.417009845376,768.099968612194,974.559749498963,681.520833045244,603.891246706247,489.703648917377,932.38427259028,531.959640681744,571.258467078209
"8",0.315985778208,0.002643926807,Achargaon,"45617213",,,,Nandail,"456172",Mymensingh,"4561",Mymensingh,"45",Bangladesh,BD,2015/01/01,2018/04/10,,2137.52832537889,1865.14981693029,1973.49844151735,1984.75734108686,506.279796920717,494.552615322173,1642.66410599649,2521.07170805335,2336.31091204286,1645.74699789286,2273.93795397878,2850.69538450241,2030.5014026165,1862.30607488751,1623.66850848496,2698.33747687936,1787.24776373804,1730.91643305123
"9",0.340727185059,0.00305894185704,Achim Patuli,"45612011",,,,Fulbaria,"456120",Mymensingh,"4561",Mymensingh,"45",Bangladesh,BD,2015/01/01,2018/04/10,,1932.7185113281,1686.43827286363,1784.40534523129,1794.58546042442,457.76999687776,447.166469618678,1485.2702948451,2279.51222974062,2112.45450752974,1488.05779588223,2056.05788823962,2577.55262163281,1835.94650171697,1683.86700640619,1468.09478332102,2439.79306694865,1616.0004966408,1565.06662017107
"10",0.277645566008,0.00270771668545,Achintapur,"45612315",,,,Gauripur,"456123",Mymensingh,"4561",Mymensingh,"45",Bangladesh,BD,2015/01/01,2018/04/10,,1510.07247437537,1316.15742605925,1394.48827721179,1405.75224363804,358.577490780503,350.278814598918,1160.10862641037,1784.00833250582,1652.23273132741,1162.35598435998,1603.16740192473,2018.46238055825,1438.12196668983,1316.75669720769,1145.39154540002,1910.5870411694,1261.42180350423,1220.77680155635
