fid,CMAUID,CMAPUID,CMANAME,CMATYPE,PRUID,PRNAME,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"1","512","35512",Brockville,D,"35",Ontario,1298.68109470201,1045.37219444592,1191.36280830872,1069.9217524501,1017.3745188762,1229.71023598501,1357.31651748142,796.303781005925,1377.71190302336,1246.94492943042,1096.44546411392,1280.70740396114,193.446516516733,1320.58266625434,833.591193622909,1124.85996837419,1341.9152851557,185.738186046614,90183.8116599233
"2","442","24442",Trois-Rivières,B,"24",Quebec / Québec,5065.68661673966,4015.81856031093,4385.14423957775,3786.84095133983,3770.07467024661,5042.78680152657,5093.83174742528,3356.4894205649,5773.75516247241,5779.72631846722,4124.44896036981,5337.37668680595,841.562893107971,5366.59178777611,3424.22989057893,4062.95213401037,5182.35734820725,791.122369716748,105280.205359739
"3","444","24444",Shawinigan,D,"24",Quebec / Québec,1699.25344235857,1347.08165778378,1470.96968524006,1270.27252314136,1264.64837916101,1691.57183927159,1708.69455513144,1125.91374786529,1936.77068541629,1938.77367341414,1383.52105649871,1790.39020942799,282.297100476132,1800.19023375649,1148.63687236322,1362.89232371414,1738.38992362433,265.377136946793,91496.1276763721
"4","447","24447",Drummondville,K,"24",Quebec / Québec,3111.48164083545,2466.62430824684,2693.47412158512,2325.9800709148,2315.68176726966,3097.41595696285,3128.76914528963,2061.64652749223,3546.39648471637,3550.06413034102,2533.34803665504,3278.36102775814,516.910676411758,3296.30573298899,2103.25455481857,2495.57502083249,3183.14395921905,485.928743887476,103646.35369619
"5","450","24450",Granby,K,"24",Quebec / Québec,2787.76063257518,2209.99476366432,2413.242944678,2083.98326550269,2074.75640301594,2775.15835618963,2803.24953170996,1847.1511936636,3177.42659063973,3180.71265248366,2269.7765016764,2937.27775401834,463.1308809141,2953.35547746602,1884.43028895955,2235.93342616151,2851.96714621735,435.372332750119,50394.9006084624
"6","454","24454",Sorel-Tracy,D,"24",Quebec / Québec,1350.02078636788,1070.22777951193,1168.65418746907,1009.20455406302,1004.73628902252,1343.91791624104,1357.52155121765,894.514571355336,1538.72319556426,1540.31452689876,1099.17810856547,1422.42701345435,224.279053663762,1430.2129261028,912.567611250211,1082.78901853772,1381.11389037108,210.8365015116,17513.6345816691
"7","456","24456",Joliette,D,"24",Quebec / Québec,1641.54066970943,1301.32990829985,1421.01025284864,1227.12949132186,1221.69636160263,1634.11996480469,1650.66112965139,1087.6736591292,1870.99097365165,1872.92593230143,1336.5316945021,1729.58210071323,272.709273451514,1739.04928603792,1109.62502448461,1316.60358838491,1679.34793650449,256.363973070127,11117.4777115735
"8","462","24462",Montréal,B,"24",Quebec / Québec,132767.431630119,105251.26342935,114930.982186235,99249.9507695965,98810.5204385873,132167.246484332,133505.092147099,87970.7952286074,151325.31916632,151481.818280658,108098.375792301,139888.202264564,22056.6632694896,140653.905827393,89746.2165368543,106486.595102554,135825.274459938,20734.6591216859,463823.872043938
"9","465","24465",Salaberry-de-Valleyfield,D,"24",Quebec / Québec,1290.63062528463,1023.14628256945,1117.24271461025,964.807593223428,960.535895400619,1284.79623439288,1297.80141639316,855.163054606066,1471.03163096766,1472.5529562523,1050.82302695341,1359.85155443413,214.412561683445,1367.29494936313,872.421905488023,1035.15492568185,1320.35587784138,201.561375014708,10713.3779919323
"10","568","35568",Barrie,B,"35",Ontario,6645.27025770451,5349.10439859907,6096.12927505161,5474.72295222038,5205.84203590617,6292.35066523754,6945.30406225609,4074.63684030456,7049.66598244184,6380.53952352982,5610.44313735701,6553.30000183087,989.853774080639,6757.3392415004,4265.43420791951,5755.83837467069,6866.49691969302,950.410727173613,96767.6104952436
