fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,Area,F_25_to_29sum,M_0_to_1sum,M_15_to_19sum,F_5_to_9sum,F_10_to_14sum,F_20_to_24sum,F_1_to_4sum,F_35_to_39sum,F_15_to_19sum,M_1_to_4sum,M_35_to_39sum,M_5_to_9sum,F_30_to_34sum,M_25_to_29sum,M_20_to_24sum,F_0_to_1sum,M_10_to_14sum,M_30_to_34sum
"1",Colombia,CO,La Guajira,CO44,UribÃ­a,CO44847,Uribia,,,2009/01/01,2014/10/29,,5.35643518652,0.657424104816,791995.938368613,4882.90918295016,1938.66509964372,5800.58323242987,6826.0299265607,6247.23502547073,5595.4316287745,7384.1725027358,3802.59311523929,5848.79443143687,7595.16466510517,3471.67238396156,7184.21317918791,4026.63719366741,4515.20717847557,5325.15157264593,1879.98531645029,6445.53305938252,3729.27937229181
"2",Colombia,CO,La Guajira,CO44,Manaure,CO44560,Manaure,,,2009/01/01,2014/10/29,,2.03426660044,0.134340392615,162067.719821166,2812.40266303904,1116.61034134385,3340.95415721764,3931.5793176631,3598.21159184189,3222.7932626718,4253.05194875388,2190.17446490657,3368.72229695437,4374.57682160428,1999.57449493243,4137.8816463151,2319.21683250286,2600.61783236905,3067.12042132404,1082.8126254612,3712.42504480225,2147.94804646389
"3",Colombia,CO,La Guajira,CO44,Maicao,CO44430,Maicao,,,2009/01/01,2014/10/29,,2.7162099918,0.183162628415,221160.793503915,5920.17127226508,2350.49004587281,7032.78413231479,8276.06346258486,7574.31685635872,6784.05277437851,8952.77063123474,4610.36682851889,7091.23669355601,9208.58324022044,4209.14957711787,8710.33453639183,4882.00393455461,5474.35941059701,6456.35791599902,2279.34508947843,7814.73876172845,4521.47926156037
"4",Colombia,CO,La Guajira,CO44,Riohacha,CO44001,Riohacha,,,2009/01/01,2014/10/29,,3.07567354158,0.263780542933,318620.170351278,7114.43037522561,2824.64763393332,8451.48742241913,9945.56991071149,9102.26198351849,8152.58020526171,10758.7872635768,5540.40285089595,8521.73145096085,11066.2042187945,5058.2491990251,10467.4452349548,5866.8365308026,6578.68616716313,7758.78040571173,2739.15080931119,9391.1835066647,5433.5842506967
"5",Colombia,CO,Magdalena,CO47,Santa Marta,CO47001,Santa Marta,,,2009/01/01,2014/10/29,,2.9831259531,0.194748976126,235332.727516135,16872.5351787517,5220.41192366328,21530.9878420598,21732.3435004159,21490.5075954838,18600.8197507998,19330.2900942323,14476.9092688768,20626.9844061001,20452.161278532,14148.385713544,23027.8835593603,15080.9383208674,16570.237551985,18549.2307733265,4921.42637476604,22722.0828403854,14765.5138785055
"6",Colombia,CO,La Guajira,CO44,Dibulla,CO44090,Dibulla,,,2009/01/01,2014/10/29,,1.92545347729,0.144384605657,174490.915536991,905.016079415742,359.252955300472,1075.15804322145,1265.07817544404,1157.88808228006,1037.04924967955,1368.33191529778,704.844164761424,1084.05757111026,1407.45575547346,643.537293762201,1331.46810128994,746.363565884123,836.89676202077,986.972980100138,348.37267251141,1194.66383855895,691.270612614404
"7",Colombia,CO,La Guajira,CO44,Hatonuevo,CO44378,Hatonuevo,,,2009/01/01,2014/10/29,,1.21344717625,0.0196791069602,23781.9502045968,701.607856129762,278.559893908678,833.465176868951,980.807965556625,897.642984801438,803.987672430929,1061.00548740081,546.381081983098,840.392472633161,1091.32220080332,498.832259151503,1032.27404367342,578.573179300409,648.774062525365,765.152092356002,270.128404647054,926.135723780841,535.846891138935
"8",Colombia,CO,La Guajira,CO44,Barrancas,CO44078,Barrancas,,,2009/01/01,2014/10/29,,1.41760443007,0.0649034543066,78463.7983671757,1101.07032626154,437.158778367186,1308.00099579972,1539.23382936383,1408.71862391848,1261.74038870458,1665.0920429473,857.464737786679,1318.87236715941,1712.66966487479,782.843854370061,1620.00226781506,907.98549839374,1018.15545953839,1200.79365789209,423.926796257219,1453.43378709181,840.932874287013
"9",Colombia,CO,Magdalena,CO47,Sitionuevo,CO47745,Sitionuevo,,,2009/01/01,2014/10/29,,1.53260923586,0.0806604623785,97543.7634161263,1176.68915221444,363.929694003993,1501.28109722532,1515.14879405458,1498.32748626609,1297.2631304558,1347.55827697332,1009.6726668441,1438.3241602215,1425.77806138853,986.654855962697,1605.46127852611,1051.72261596104,1155.54078886803,1293.57002538501,343.083772352416,1584.17833373079,1029.64437409636
"10",Colombia,CO,AtlÃ¡ntico,CO08,Barranquilla,CO08001,Barranquilla,,,2009/01/01,2014/10/29,,0.801481957508,0.0155718423986,18825.6345895838,56484.8498548791,12528.7340929508,59761.282982558,55068.8369914256,55166.7726671211,64385.7777283527,46303.830621371,49981.4104876779,60810.6254025325,49084.1890824288,44192.4915929902,57835.2596168593,49074.4691255614,52333.3718468584,59945.1034351103,11788.7983719669,57446.8953070045,44426.9157731328
"11",Colombia,CO,Magdalena,CO47,Cienaga,CO47189,Cienaga,,,2009/01/01,2014/10/29,,2.60718559426,0.1095457836,132476.903403552,3453.61649793701,1068.50539855973,4407.20291629201,4448.29678017879,4398.8595596666,3807.35009694914,3956.46644749783,2963.30762101244,4222.12479578238,4186.11501469312,2896.09216786432,4713.48123239237,3086.93933457683,3391.77476603782,3796.822459316,1007.30295505532,4650.96887393831,3022.40138809348
"12",Colombia,CO,AtlÃ¡ntico,CO08,Puerto Colombia,CO08573,Puerto Colombia,,,2009/01/01,2014/10/29,,0.45147420822,0.00509283569807,6156.58459378474,1108.00380781759,245.762911174912,1172.27397150453,1080.22712580208,1082.1482399283,1262.98801808711,908.293216913939,980.432707830332,1192.85787522886,962.83256699983,866.877517884597,1134.49310287274,962.642154220492,1026.56859224755,1175.87992642075,231.248375200666,1126.87497679982,871.475944820791
