fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"1",Colombia,CO,La Guajira,CO44,UribÃ­a,CO44847,Uribia,,,2009/01/01,2014/10/29,,5.35643518652,0.657424104816,11551.0387323946,12920.1065623793,11450.9038510423,12320.8162907362,11941.7637560377,8183.94705793518,10993.081317464,13554.5745068169,10132.2829729958,9384.03831344948,11546.0762906617,10449.5061935799,3452.41884002101,11300.4763622999,13941.8775904092,13598.0652409843,8964.04268851154,3347.92032992502,791995.938368613
"2",Colombia,CO,La Guajira,CO44,Manaure,CO44560,Manaure,,,2009/01/01,2014/10/29,,2.03426660044,0.134340392615,8924.57644556928,9982.34716024203,8847.21012348868,9519.32284041401,9226.4588495018,6323.09031611402,8493.48675927194,10472.5504875556,7828.41578508168,7250.30616116337,8920.7423546575,8073.50914476439,2667.41169916908,8730.98666954087,10771.7890296811,10506.1523500308,6925.80867142696,2586.67394378455,162067.719821166
"3",Colombia,CO,La Guajira,CO44,Maicao,CO44430,Maicao,,,2009/01/01,2014/10/29,,2.7162099918,0.183162628415,10055.6785845235,11247.5113168515,9968.50684647006,10725.8032307331,10395.8216075776,7124.47971751564,9569.9525331168,11799.8430890432,8820.59036041121,8169.21103894117,10051.3585639866,9096.74689096399,3005.47985352989,9837.55320874997,12137.0071725752,11837.7036572327,7803.58669046522,2914.50938295183,221160.793503915
"4",Colombia,CO,La Guajira,CO44,Riohacha,CO44001,Riohacha,,,2009/01/01,2014/10/29,,3.07567354158,0.263780542933,15355.1552253467,17175.0997025201,15222.0428144443,16378.4444898439,15874.558156078,10879.1754883208,14613.4450741095,18018.5176780552,13469.1590449451,12474.4941406953,15348.5584991166,13890.8537538721,4589.40779354254,15022.0748711057,18533.3717184204,18076.3312614845,11916.1808893178,4450.49467348095,318620.170351278
"5",Colombia,CO,Magdalena,CO47,Santa Marta,CO47001,Santa Marta,,,2009/01/01,2014/10/29,,2.9831259531,0.194748976126,25291.1536208796,27092.7714661588,27995.0617894819,28607.3748573994,27056.8051097604,21967.4924955595,25221.0150159444,23370.6579959909,24994.3919256397,24471.6277617724,26819.6493632112,25257.8367583078,6123.13756433447,25718.6182238853,24727.0227482242,28707.8697630619,22477.5673055163,5772.44984423131,235332.727516135
"6",Colombia,CO,La Guajira,CO44,Dibulla,CO44090,Dibulla,,,2009/01/01,2014/10/29,,1.92545347729,0.144384605657,1949.86591707601,2180.90715996863,1933.08969721489,2079.88687310601,2015.8683262032,1381.66499012348,1855.71360711905,2287.75938090961,1710.50545779627,1584.23784728406,1949.10024861188,1764.01951910777,582.712235096638,1907.61246041581,2353.16253002884,2295.3559555735,1513.30157382437,565.066512326506,174490.915536991
"7",Colombia,CO,La Guajira,CO44,Hatonuevo,CO44378,Hatonuevo,,,2009/01/01,2014/10/29,,1.21344717625,0.0196791069602,1350.45786133502,1510.51865267428,1338.75086769881,1440.45428189123,1396.13839997118,956.803617223399,1285.22580758529,1584.69572488265,1184.5879411269,1097.10897881491,1349.87769089453,1221.67522009462,403.630034349277,1321.16405219538,1629.976197307,1589.78032403998,1048.00634908676,391.412878907868,23781.9502045968
"8",Colombia,CO,La Guajira,CO44,Barrancas,CO44078,Barrancas,,,2009/01/01,2014/10/29,,1.41760443007,0.0649034543066,2143.3040192693,2397.3355968676,2124.72391602548,2286.1368307313,2215.80334449629,1518.53759815713,2039.77459627739,2515.0616044458,1880.05280872446,1741.21544372273,2142.38323311461,1938.91382011643,640.598940664582,2096.81198112236,2586.92598729453,2523.13134501327,1663.28493618185,621.209162389627,78463.7983671757
"9",Colombia,CO,Magdalena,CO47,Sitionuevo,CO47745,Sitionuevo,,,2009/01/01,2014/10/29,,1.53260923586,0.0806604623785,2094.25200595043,2242.73998536798,2317.67581564595,2368.15728485282,2239.81800211675,1818.89332098165,2088.30467936839,1934.4578596598,2069.58005591552,2026.14956734621,2220.47118616593,2091.32159737102,506.833999613998,2129.58399159578,2046.74412309087,2376.42344845366,1861.30773908272,477.802591819825,97543.7634161263
"10",Colombia,CO,AtlÃ¡ntico,CO08,Barranquilla,CO08001,Barranquilla,,,2009/01/01,2014/10/29,,0.801481957508,0.0155718423986,70038.6183517333,54924.2214220129,62165.314921122,57863.8464552239,55567.1782111023,54894.9935063487,65208.0642158054,44787.9356531268,65069.9655951839,58907.5736258328,63256.8667991534,63820.0261715874,11756.7690392563,68882.7128188275,47477.2723204466,57683.3793830927,62085.8640152887,11062.4243925563,18825.6345895838
