DP,DPNOM,DPMP,Male_0,Male_1,Male_2,Male_3,Male_4,Male_5,Male_6,Male_7,Male_8,Male_9,Male_10,Male_11,Male_12,Male_13,Male_14,Male_15,Male_16,Male_17,Male_18,Male_19,Male_20,Male_21,Male_22,Male_23,Male_24,Male_25,Male_26,Male_27,Male_28,Male_29,Female_0,Female_1,Female_2,Female_3,Female_4,Female_5,Female_6,Female_7,Female_8,Female_9,Female_10,Female_11,Female_12,Female_13,Female_14,Female_15,Female_16,Female_17,Female_18,Female_19,Female_20,Female_21,Female_22,Female_23,Female_24,Female_25,Female_26,Female_27,Female_28,Female_29
5,Antioquia,5,52694,52857,53114,53470,53919,53926,54661,55464,56304,57127,57931,58740,59159,58990,58387,57730,57042,55999,54555,52835,51055,49164,47541,46379,45536,44661,43918,42973,41653,40169,50151,50475,50850,51276,51757,51936,52566,53251,53932,54591,55228,55874,56222,56152,55781,55373,54877,54227,53391,52427,51392,50289,49257,48371,47593,46824,46152,45299,44156,42894
8,Atlántico,8,22659,22613,22560,22515,22478,22409,22383,22369,22365,22355,22345,22304,22275,22246,22199,22132,22044,21873,21587,21217,20825,20419,19962,19454,18908,18366,17834,17275,16679,16085,21581,21579,21566,21546,21525,21504,21465,21419,21371,21311,21253,21197,21132,21071,21012,20936,20816,20761,20804,20885,20937,20985,20850,20435,19836,19256,18687,18107,17543,17009
11,Bogotá D.C.,11,59603,60207,60815,61427,62043,62411,63037,63643,64198,64673,65136,65662,65711,65053,63960,62880,61654,60889,60909,61404,61731,62013,62064,61723,61089,60491,59950,59020,57538,55734,56851,57510,58163,58811,59455,59965,60566,61127,61629,62053,62506,63096,63170,62452,61306,60204,58858,58596,60066,62565,64800,67094,68477,68359,67223,66228,65246,63956,62349,60573
13,Bolívar,13,21211,21384,21525,21650,21755,21771,21846,21902,21924,21915,21874,21814,21628,21266,20784,20286,19759,19208,18654,18094,17528,16929,16382,15891,15442,15007,14599,14205,13813,13440,20359,20618,20823,20983,21091,21184,21172,21115,21004,20852,20658,20429,20155,19800,19411,19007,18553,18158,17846,17587,17314,17039,16724,16336,15912,15509,15121,14737,14349,13978
15,Boyacá,15,12945,13090,13219,13338,13461,13492,13598,13694,13778,13831,13867,13888,13813,13614,13315,13013,12705,12315,11826,11282,10754,10175,9734,9472,9350,9209,9091,8975,8812,8643,12256,12404,12555,12692,12815,12868,12965,13054,13110,13141,13162,13159,13045,12767,12371,11973,11561,11183,10856,10595,10312,10032,9771,9539,9326,9137,8957,8825,8747,8719
17,Caldas,17,8820,8757,8730,8720,8746,8708,8809,8944,9102,9278,9450,9591,9771,10008,10248,10465,10701,10652,10155,9381,8637,7835,7229,6964,6918,6836,6771,6672,6489,6265,8547,8439,8374,8340,8336,8284,8359,8478,8622,8789,8964,9111,9289,9502,9712,9900,10115,10098,9740,9168,8610,8022,7562,7336,7261,7167,7086,6995,6846,6684
18,Caquetá,18,5712,5668,5623,5574,5526,5462,5417,5372,5324,5274,5218,5165,5098,5014,4917,4814,4715,4591,4430,4243,4062,3875,3712,3592,3495,3403,3319,3220,3104,2977,5481,5457,5425,5389,5346,5294,5247,5191,5132,5066,4994,4914,4835,4759,4685,4602,4528,4413,4235,4019,3811,3594,3429,3338,3300,3252,3223,3174,3103,3018
19,Cauca,19,13572,13875,14151,14393,14606,14759,14898,14996,15055,15061,15049,15018,14872,14564,14148,13721,13258,12882,12666,12558,12405,12249,12044,11759,11415,11088,10774,10416,9970,9489,13010,13339,13625,13880,14084,14239,14369,14442,14467,14451,14385,14323,14143,13808,13378,12938,12467,12065,11789,11598,11383,11152,10929,10711,10489,10282,10098,9857,9526,9143
20,Cesar,20,11609,11597,11581,11568,11557,11474,11474,11481,11479,11466,11441,11391,11293,11132,10914,10689,10473,10119,9556,8874,8208,7511,6996,6779,6757,6717,6700,6639,6478,6261,10965,11010,11047,11076,11101,11068,11078,11080,11060,11026,10970,10921,10795,10565,10269,9965,9653,9337,9039,8749,8451,8146,7884,7682,7532,7381,7250,7102,6934,6757
23,Córdoba,23,18024,17815,17654,17547,17495,17257,17331,17444,17578,17702,17846,18002,17958,17598,17027,16465,15892,15267,14617,13949,13272,12561,11983,11610,11380,11147,10960,10741,10446,10125,17358,17123,16937,16802,16710,16479,16498,16560,16640,16716,16808,16939,16878,16524,15973,15433,14884,14379,13983,13664,13311,12963,12625,12307,12009,11724,11476,11212,10923,10630
25,Cundinamarca,25,23073,23220,23368,23518,23672,23700,23888,24082,24276,24444,24576,24663,24714,24723,24663,24566,24497,24063,23135,21897,20678,19392,18350,17721,17360,16972,16626,16276,15879,15472,22003,22196,22373,22539,22704,22778,22953,23139,23319,23471,23588,23665,23703,23724,23695,23614,23558,23174,22291,21112,19959,18747,17818,17333,17149,16950,16773,16582,16296,15975
27,Chocó,27,6878,6793,6714,6641,6581,6481,6453,6434,6427,6415,6405,6378,6350,6323,6279,6234,6187,6013,5623,5115,4619,4092,3679,3454,3347,3229,3115,2996,2840,2664,6660,6587,6524,6463,6413,6326,6293,6268,6248,6230,6203,6169,6126,6078,6010,5939,5870,5698,5385,4980,4586,4167,3835,3641,3539,3436,3325,3211,3060,2898
41,Huila,41,11398,11576,11740,11880,11993,12062,12129,12180,12197,12178,12146,12086,11942,11680,11334,10983,10598,10236,9907,9604,9287,8966,8665,8390,8137,7887,7664,7443,7226,7024,10910,11097,11260,11404,11525,11589,11667,11718,11745,11732,11695,11654,11504,11222,10844,10462,10059,9688,9383,9120,8842,8570,8318,8106,7929,7754,7605,7453,7291,7131
44,La Guajira,44,10688,10428,10160,9890,9615,9383,9099,8818,8543,8282,8013,7719,7543,7536,7642,7729,7841,7796,7477,6995,6547,6073,5697,5486,5385,5260,5146,5009,4812,4591,10251,10021,9779,9529,9270,9066,8791,8517,8246,7992,7732,7446,7274,7278,7382,7472,7590,7580,7359,7006,6679,6333,6053,5894,5806,5702,5612,5477,5266,5020
47,Magdalena,47,14418,14675,14864,14988,15046,15114,15023,14864,14654,14385,14078,13716,13358,13029,12710,12372,12033,11657,11229,10777,10329,9885,9520,9268,9097,8921,8786,8619,8406,8172,13722,14030,14263,14411,14485,14598,14497,14315,14065,13761,13408,13003,12625,12312,12030,11741,11438,11125,10803,10477,10152,9842,9573,9365,9203,9044,8911,8752,8551,8322
50,Meta,50,8937,8803,8691,8604,8543,8432,8433,8459,8503,8555,8612,8678,8708,8675,8601,8516,8446,8303,8074,7782,7493,7174,6923,6771,6679,6575,6493,6372,6193,5983,8530,8405,8305,8233,8190,8083,8105,8156,8217,8282,8362,8447,8483,8445,8346,8246,8153,8006,7798,7554,7305,7039,6819,6690,6612,6525,6450,6354,6203,6036
52,Nariño,52,17029,17125,17206,17281,17338,17341,17387,17405,17400,17375,17337,17284,17162,16940,16648,16348,16009,15697,15449,15216,14973,14686,14394,14070,13727,13386,13071,12676,12160,11579,16369,16548,16688,16784,16835,16905,16859,16761,16632,16460,16269,16044,15820,15622,15436,15226,15012,14814,14628,14460,14275,14085,13875,13642,13379,13128,12889,12584,12189,11739
54,Norte de Santander,54,13113,13527,13879,14158,14377,14590,14653,14650,14584,14465,14298,14082,13850,13614,13373,13109,12818,12515,12198,11873,11546,11215,10886,10565,10256,9954,9664,9377,9079,8786,12507,12995,13386,13688,13895,14171,14178,14095,13944,13730,13474,13129,12850,12669,12557,12419,12244,12075,11908,11741,11580,11407,11192,10900,10558,10233,9913,9620,9370,9158
63,Quindio,63,4668,4713,4765,4825,4897,4913,5006,5108,5210,5306,5394,5497,5525,5452,5307,5161,5011,4850,4694,4540,4377,4209,4071,3987,3932,3880,3845,3798,3721,3639,4464,4504,4555,4618,4690,4708,4810,4917,5024,5126,5229,5340,5373,5291,5132,4976,4805,4661,4572,4512,4444,4369,4296,4224,4151,4087,4042,3980,3899,3811
66,Risaralda,66,7785,7881,7993,8117,8256,8302,8477,8665,8843,9012,9178,9356,9409,9275,9022,8768,8493,8241,8046,7886,7704,7507,7338,7206,7100,6997,6921,6797,6591,6346,7473,7612,7746,7879,8007,8097,8220,8337,8444,8535,8621,8703,8726,8658,8527,8394,8249,8126,8055,8020,7962,7903,7825,7719,7591,7476,7373,7230,7025,6789
68,Santander,68,17594,17970,18336,18693,19047,19258,19614,19941,20242,20506,20740,20962,21037,20899,20614,20300,19957,19567,19166,18743,18287,17801,17339,16915,16524,16123,15762,15369,14930,14487,16687,17129,17537,17923,18281,18548,18853,19117,19355,19539,19690,19815,19817,19674,19406,19129,18809,18496,18207,17942,17643,17343,17035,16728,16419,16133,15842,15549,15233,14900
70,Sucre,70,8625,8705,8788,8877,8970,8980,9088,9194,9296,9372,9443,9508,9482,9326,9077,8818,8557,8252,7908,7540,7165,6777,6452,6227,6068,5912,5775,5631,5468,5293,8264,8356,8455,8545,8635,8655,8737,8812,8872,8910,8938,8957,8894,8712,8448,8188,7903,7615,7334,7058,6777,6484,6244,6086,5981,5879,5803,5700,5553,5382
73,Tolima,73,13960,14101,14241,14383,14532,14552,14723,14888,15048,15180,15286,15359,15347,15223,14989,14738,14513,14047,13250,12254,11281,10264,9517,9220,9216,9185,9191,9160,9004,8781,13188,13350,13509,13655,13789,13835,13963,14085,14189,14268,14320,14340,14281,14114,13861,13591,13335,12938,12353,11667,10984,10282,9760,9527,9492,9437,9431,9382,9242,9054
76,Valle del Cauca,76,36461,37010,37551,38111,38674,38999,39604,40212,40797,41329,41818,42297,42501,42327,41874,41377,40828,40166,39416,38590,37710,36775,35892,35109,34401,33692,33010,32295,31529,30750,34728,35320,35905,36478,37042,37436,37994,38532,39036,39485,39901,40310,40482,40322,39929,39511,39015,38578,38272,38038,37734,37408,36995,36467,35863,35281,34733,34138,33469,32792
81,Arauca,81,3676,3570,3472,3383,3298,3209,3136,3068,3008,2949,2895,2843,2782,2704,2615,2527,2440,2364,2309,2267,2222,2186,2132,2056,1966,1881,1792,1721,1675,1647,3552,3445,3353,3267,3190,3096,3037,2987,2939,2895,2856,2824,2766,2664,2537,2415,2288,2187,2130,2096,2061,2030,1989,1928,1855,1788,1722,1675,1649,1644
85,Casanare,85,3592,3608,3622,3636,3647,3644,3656,3659,3662,3661,3655,3643,3610,3551,3472,3389,3309,3207,3081,2943,2804,2660,2557,2513,2509,2505,2506,2486,2441,2376,3432,3451,3472,3486,3499,3495,3505,3512,3513,3509,3501,3485,3453,3396,3329,3260,3188,3085,2942,2773,2609,2438,2319,2289,2322,2344,2376,2388,2358,2301
86,Putumayo,86,4182,4188,4191,4191,4192,4167,4166,4159,4148,4125,4103,4080,4018,3894,3735,3575,3413,3275,3186,3128,3066,2995,2934,2872,2813,2761,2713,2648,2556,2448,4007,4017,4029,4036,4042,4025,4029,4028,4019,4001,3979,3959,3899,3784,3634,3477,3325,3187,3089,3018,2945,2861,2789,2730,2682,2640,2598,2536,2446,2333
88,Archipiélago de San Andrés,88,665,669,673,679,685,686,696,705,715,724,734,741,745,738,724,710,696,682,669,658,643,630,616,603,589,575,567,553,530,505,632,639,646,654,660,664,672,679,687,693,699,704,705,700,690,680,670,656,640,622,604,585,571,563,559,556,557,550,533,511
91,Amazonas,91,1029,1028,1024,1020,1017,1009,1001,994,986,976,966,950,937,931,920,911,905,880,822,747,675,604,549,516,504,490,479,469,459,452,978,980,978,977,974,966,964,959,953,946,935,926,916,914,913,915,906,883,825,744,670,595,532,498,483,467,445,433,426,421
94,Guainía,94,444,473,492,508,522,533,537,539,537,532,525,511,501,494,491,484,480,464,433,392,353,312,280,270,273,275,272,272,265,256,440,452,463,473,483,488,492,493,494,491,488,481,472,464,453,441,431,413,383,346,310,273,249,239,241,243,248,247,243,238
95,Guaviare,95,1427,1396,1369,1346,1330,1298,1291,1291,1290,1292,1295,1298,1286,1250,1198,1148,1097,1039,968,893,816,742,691,682,701,718,738,754,757,751,1387,1363,1342,1327,1314,1287,1285,1285,1286,1289,1290,1291,1279,1249,1204,1161,1117,1059,978,885,796,701,632,606,606,605,606,609,606,600
97,Vaupés,97,634,623,614,606,598,592,581,573,563,555,546,535,526,522,520,517,515,502,467,420,376,329,293,275,267,261,253,246,242,238,597,592,584,579,570,563,553,542,531,522,509,496,486,484,482,477,480,466,432,386,343,301,267,250,246,241,234,231,228,228
99,Vichada,99,899,892,885,878,867,858,844,833,820,807,791,771,757,754,755,753,756,735,678,599,522,445,387,362,359,353,347,345,339,334,854,854,853,847,841,836,822,807,790,773,752,728,709,704,707,705,708,688,632,553,480,403,348,324,326,324,321,323,322,320
