fid,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"1",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Gitega,RW1101,,1775.98494791985,1388.37416779995,1616.44567322731,1033.959207654,1155.01302444935,905.056040644646,2940.40968704224,1238.12169110775,1016.39894604683,1747.60172629356,1565.20274043083,2659.13793706894,338.274480968714,1562.33833050728,1284.51510691643,1417.85170674324,542.673962891102,322.496709764004,118.224573336255
"2",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Kanyinya,RW1102,,1400.25895218551,1484.24993915856,1358.91517972946,1401.53520254791,1412.49870406091,713.359151139855,1476.45769660175,1094.32944881916,1015.03264172375,1041.35197170824,1265.32002045214,1119.55331462622,284.33829170838,1285.58460527658,1079.70559841394,1613.73255562782,694.112155854702,285.042774371803,2435.0640502803
"3",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Kigali,RW1103,,1644.54036781192,1739.52943591774,1765.40692085028,1640.74171797186,1514.40561056137,844.162670999765,2276.9627443701,1303.69363383204,1133.75125721097,1215.76840697974,1528.07022230327,1792.73268286884,363.973225068301,1467.61406947672,1382.09990996867,1818.80569803715,796.81521929428,339.576416879892,2959.86772026792
"4",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Kimisagara,RW1104,,2781.85449144244,2851.93140733242,2573.5438272953,1900.16646713018,2177.63534888625,1713.37691105902,4449.45220321417,2409.5175948143,1923.74199128151,2851.49547833204,2602.44742140174,3937.80872672796,664.847444631159,2657.88183182478,2524.59672558308,2859.98385518789,1049.36224862933,627.613157443702,333.702353428255
"5",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Mageregere,RW1105,Mageragere,1416.17346369475,1429.28611004353,1398.38303396106,1461.47665685415,1364.88558077812,492.988269016147,1381.42424514145,1001.77475953847,1098.82042685896,792.877803198993,1309.6958995536,1068.71543941647,294.108150493354,1284.14945356548,1116.80422459543,1525.48635958135,754.198748249561,260.934830397367,5505.35160618206
"6",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Muhima,RW1106,,1760.81809413433,1251.24644041061,1541.86100399494,985.549246430397,1080.9775904417,1572.55417954922,3473.38422894478,1042.78781348467,1077.25241601467,2705.67899155617,1548.06140267849,3595.4456744194,281.30816078186,1602.05104100704,1068.19942390919,1248.22266125679,581.511996328831,271.617612093687,296.510870340901
"7",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Nyakabanda,RW1107,,1909.14797496796,1630.50362718105,1517.46426105499,1243.96022737026,1320.39005947113,1077.08750152588,2453.25499391556,1340.89419925213,1179.33720612526,1733.01852500439,1787.92148900032,2242.0723272562,362.008245080709,1707.36380958557,1374.63831877708,1661.52108478546,659.361310362816,349.266127675772,244.212435278583
"8",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Nyamirambo,RW1108,,2480.68679831922,1953.54590517282,1844.21135115623,1579.10417428613,1763.49153634906,1346.94343607128,2835.43196839094,1558.92311349511,1527.22545722127,2040.2559184134,2121.10208727419,2574.59295161068,428.831335190684,2128.61129751801,1628.38282588124,2076.34892493486,844.389971747994,406.056693099439,881.013289230552
"9",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Nyarugenge,RW1109,,1344.73014557362,1011.40520763397,1072.88117086887,778.474372386932,874.869610249996,882.126060068607,3111.09333992004,817.719582915306,769.405996441841,2044.12258827686,1149.80443274975,3533.05550789833,227.653495207429,1119.11820995808,864.458830058575,1073.20293223858,424.261942207813,212.993506491184,466.029609807324
"10",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Rwezamenyo,RW1110,,1028.65814495087,773.168858408928,784.832416415215,603.171950817108,689.2700060606,536.845882415771,1343.95706224442,577.07361125946,601.819916009903,880.124134302139,940.216089487076,1284.13689565659,158.707076907158,897.133050441742,602.651555776596,741.540189146996,314.38522362709,150.311830461025,103.433452306304
