fid,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_TYPE,ADM1_PCODE,ADM2_EN,ADM2_TYPE,ADM2_PCODE,ADM3_EN,ADM3_TYPE,ADM3_PCODE,F_25_to_29sum,M_5_to_9sum,F_5_to_9sum,F_10_to_14sum,M_30_to_34sum,M_25_to_29sum,F_20_to_24sum,F_35_to_39sum,F_15_to_19sum,M_35_to_39sum,F_1_to_4sum,M_10_to_14sum,M_15_to_19sum,M_20_to_24sum,F_30_to_34sum,M_1_to_4sum,F_0_to_1sum,M_0_to_1sum,Area
"1",Seychelles,SC,La Digue,Islands,SC3,La Digue,Region,SC36,La Digue,Distict,SC3615LD,104.731560889632,131.729490868747,126.805336870253,110.199072621763,123.375417351723,115.598658550531,95.4266229234636,130.06547242403,96.0039377659559,129.08063916862,100.248894244432,111.21786268428,96.0718575194478,100.622449662536,115.089257579297,105.580554455519,22.1077345674857,23.2623610505834,982.997230512564
"2",Seychelles,SC,Mahe,Islands,SC1,East Mahe,Region,SC13,Anse Aux Pins,Distict,SC1301AA,125.549182757735,157.913524478674,152.010590434074,132.103478327394,147.898901998997,138.576346859336,114.394691266119,155.918747223914,115.086759150028,154.738157369196,120.175491049886,133.324774645269,115.168179661036,120.623298555613,137.965691767633,126.566931761801,26.5021163187921,27.8862494118512,245.691789171993
"3",Seychelles,SC,Mahe,Islands,SC1,West Mahe,Region,SC14,Anse Boileau,Distict,SC1402AB,120.054285097867,151.002140402794,145.357559494674,126.321719661355,141.425826158375,132.511290840805,109.387990690768,149.094667926431,110.049769276753,147.965749084949,114.915783083066,127.489563722163,110.127625923604,115.343991558999,131.927361853421,121.027490641922,25.3422010228969,26.6657548150979,1202.2342929506
"4",Seychelles,SC,Mahe,Islands,SC1,East Mahe,Region,SC13,Au Cap,Distict,SC1304AC,173.425730921328,218.131793923676,209.977852545679,182.479422263801,204.29822473228,191.420634880662,158.017618730664,215.376333855093,158.973598152399,213.745541587472,166.002852000296,184.16644398123,159.086067385972,166.621424905956,190.577114187181,174.831585861742,36.6083537265658,38.5203078836203,827.27092902124
"5",Seychelles,SC,Mahe,Islands,SC1,North Mahe,Region,SC15,Anse Etoile,Distict,SC1503AE,124.724836975336,156.876677751541,151.012501336634,131.236098185182,146.927809536457,137.666466042399,113.643584817648,154.894997231662,114.331109158695,153.722159206867,119.386428616941,132.449374966323,114.411994561553,119.831295885146,137.059820190072,125.735903702676,26.3281055875123,27.7031504828483,596.14789705594
"6",Seychelles,SC,Mahe,Islands,SC1,East Mahe,Region,SC13,Anse Royale,Distict,SC1305AR,144.054284781218,181.188912883401,174.415926024318,151.57463978231,169.698201730847,159.001565225422,131.25569627434,178.900118373334,132.049770690501,177.545517884195,137.88854726404,152.975946642458,132.143191874027,138.402358777821,158.300903461874,145.222043529153,30.4083493780345,31.9964943081141,715.993031136327
"7",Seychelles,SC,Mahe,Islands,SC1,Central 1 Mahe,Region,SC11,Bel Air,Distict,SC1109BA,79.3655441645533,99.8245673961937,96.0930451266468,83.5088228173554,93.4938527736813,87.6006274446845,72.3142650313675,98.5635745450854,72.7517542969435,97.8172682691365,75.9685810115188,84.2808616012335,72.8032236993313,76.2516611926258,87.2146035656333,80.0089114625007,16.7532343675848,17.628209955059,444.412909308199
"8",Seychelles,SC,Mahe,Islands,SC1,West Mahe,Region,SC14,Baie Lazare,Distict,SC1406BL,133.786531805992,168.274315603077,161.984087008983,140.770858794451,157.60262773186,147.668415222317,121.900187849998,166.148659776896,122.637663226575,164.89061081782,128.060269329697,142.07228468731,122.724425457418,128.537457752973,147.0176945813,134.871056247503,28.240934359841,29.7158810859546,1206.0997690462
"9",Seychelles,SC,Mahe,Islands,SC1,North Mahe,Region,SC15,Belombre,Distict,SC1510BO,115.316082395613,145.042513638735,139.62070832774,121.336159192026,135.844149481505,127.281445614994,105.070756349713,143.210323765874,105.706416573375,142.125960115343,110.380382601172,122.457911640406,105.78120052442,110.791691176593,126.720562554896,116.250878248364,24.3420161344111,25.6133329747245,939.843956044066
"10",Seychelles,SC,Mahe,Islands,SC1,North Mahe,Region,SC15,Beau Vallon,Distict,SC1508BV,137.276566274464,172.664019286633,166.209699928761,144.443090327084,161.7139429003,151.520580731332,125.080147974193,170.48291157186,125.83686169982,169.192045018077,131.400924779475,145.778466403484,125.925887346268,131.890561833978,150.85288503021,138.389381982386,28.9776440523565,30.4910671450198,445.597004701855
"11",Seychelles,SC,Mahe,Islands,SC1,East Mahe,Region,SC13,Cascade,Distict,SC1311CA,151.969972562045,191.145123120397,183.9999656789,159.903565913439,179.023005265743,167.738595932722,138.46810991317,188.730561375618,139.30581824109,187.301526043564,145.465431582183,161.381873626262,139.404372658581,146.007476586848,166.999433398247,153.201898656785,32.079268087633,33.7546804817393,1057.56143051212
"12",Seychelles,SC,Mahe,Islands,SC1,North Mahe,Region,SC15,Glacis,Distict,SC1512GL,117.469557926059,147.751116544008,142.228061407804,123.602056771517,138.380977079272,129.658368833363,107.032904967666,145.884711429477,107.680435858667,144.780097678304,112.441686198115,124.744757592678,107.756616525352,112.86067545414,129.087011508644,118.42181044817,24.7965921983123,26.0916503686458,685.287712444841
"13",Seychelles,SC,Mahe,Islands,SC1,West Mahe,Region,SC14,Grand Anse Mahe,Distict,SC1413GM,115.782757405192,145.629489373416,140.185742400587,121.827197223902,136.393900094554,127.796543614939,105.495969800279,143.789884816855,106.134202238172,142.701132643968,110.827083423734,122.953489245847,106.209288721904,111.240056229755,127.23339074105,116.7213364169,24.4405263629742,25.7169881579466,1562.19080977963
