,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_TYPE,ADM1_PCODE,ADM2_EN,ADM2_TYPE,ADM2_PCODE,ADM3_EN,ADM3_TYPE,ADM3_PCODE,Male_0,Male_1,Male_2,Male_3,Male_4,Male_5,Male_6,Male_7,Male_8,Male_9,Male_10,Male_11,Male_12,Male_13,Male_14,Male_15,Male_16,Male_17,Male_18,Male_19,Male_20,Male_21,Male_22,Male_23,Male_24,Male_25,Male_26,Male_27,Male_28,Male_29,Female_0,Female_1,Female_2,Female_3,Female_4,Female_5,Female_6,Female_7,Female_8,Female_9,Female_10,Female_11,Female_12,Female_13,Female_14,Female_15,Female_16,Female_17,Female_18,Female_19,Female_20,Female_21,Female_22,Female_23,Female_24,Female_25,Female_26,Female_27,Female_28,Female_29
0,Seychelles,SC,Mahe,Islands,SC1,Central 1 Mahe,Region,SC11,Bel Air,Distict,SC1109BA,15.0,24.0,18.0,19.0,25.0,20.0,13.0,17.0,22.0,19.0,22.0,18.0,25.0,17.0,18.0,18.0,25.0,18.0,26.0,18.0,20.0,20.0,17.0,29.0,34.0,18.0,21.0,23.0,20.0,22.0,25.0,23.0,23.0,20.0,18.0,19.0,21.0,28.0,23.0,20.0,17.0,23.0,17.0,13.0,22.0,21.0,23.0,20.0,29.0,23.0,19.0,22.0,12.0,25.0,19.0,17.0,27.0,17.0,27.0,26.0
1,Seychelles,SC,Mahe,Islands,SC1,Central 1 Mahe,Region,SC11,English River,Distict,SC1116ER,34.0,33.0,36.0,28.0,28.0,25.0,28.0,29.0,35.0,27.0,26.0,26.0,26.0,35.0,27.0,39.0,34.0,30.0,16.0,50.0,39.0,32.0,61.0,40.0,40.0,32.0,30.0,39.0,35.0,31.0,22.0,34.0,36.0,36.0,31.0,24.0,28.0,40.0,23.0,36.0,43.0,29.0,25.0,29.0,25.0,32.0,28.0,26.0,28.0,36.0,27.0,38.0,43.0,28.0,37.0,37.0,45.0,47.0,28.0,56.0
2,Seychelles,SC,Mahe,Islands,SC1,Central 1 Mahe,Region,SC11,Mont Buxton,Distict,SC1117MB,32.0,20.0,22.0,20.0,20.0,24.0,29.0,13.0,21.0,29.0,26.0,23.0,23.0,28.0,16.0,19.0,23.0,27.0,37.0,38.0,32.0,20.0,23.0,22.0,24.0,31.0,25.0,29.0,26.0,26.0,20.0,21.0,23.0,26.0,17.0,24.0,20.0,25.0,21.0,18.0,20.0,18.0,15.0,20.0,32.0,24.0,25.0,29.0,26.0,28.0,9.0,27.0,16.0,28.0,22.0,18.0,21.0,24.0,32.0,28.0
3,Seychelles,SC,Mahe,Islands,SC1,Central 1 Mahe,Region,SC11,Saint Louis,Distict,SC1122SL,23.0,26.0,20.0,24.0,32.0,16.0,17.0,28.0,22.0,28.0,13.0,25.0,21.0,23.0,24.0,22.0,26.0,21.0,28.0,32.0,17.0,32.0,25.0,24.0,26.0,31.0,31.0,25.0,27.0,35.0,26.0,33.0,26.0,23.0,26.0,25.0,21.0,22.0,30.0,22.0,17.0,24.0,17.0,17.0,22.0,22.0,28.0,21.0,25.0,23.0,22.0,21.0,20.0,27.0,34.0,38.0,23.0,24.0,29.0,21.0
5,Seychelles,SC,Mahe,Islands,SC1,Central 2 Mahe,Region,SC12,Mont Fleuri,Distict,SC1218MF,29.0,25.0,25.0,32.0,27.0,25.0,11.0,33.0,37.0,25.0,26.0,26.0,25.0,27.0,35.0,30.0,30.0,33.0,23.0,27.0,20.0,21.0,27.0,24.0,26.0,19.0,29.0,22.0,35.0,27.0,26.0,26.0,30.0,34.0,32.0,23.0,26.0,33.0,26.0,22.0,21.0,25.0,19.0,25.0,21.0,29.0,35.0,24.0,17.0,16.0,27.0,16.0,28.0,21.0,26.0,24.0,23.0,23.0,19.0,32.0
6,Seychelles,SC,Mahe,Islands,SC1,Central 2 Mahe,Region,SC12,Plaisance,Distict,SC1219PA,25.0,34.0,29.0,31.0,43.0,39.0,32.0,29.0,26.0,22.0,25.0,27.0,21.0,28.0,27.0,34.0,32.0,37.0,21.0,30.0,23.0,27.0,27.0,33.0,25.0,34.0,30.0,23.0,29.0,29.0,27.0,25.0,32.0,31.0,25.0,23.0,33.0,28.0,34.0,24.0,29.0,24.0,21.0,30.0,38.0,28.0,32.0,34.0,23.0,37.0,29.0,30.0,33.0,38.0,27.0,21.0,27.0,25.0,41.0,36.0
7,Seychelles,SC,Mahe,Islands,SC1,Central 2 Mahe,Region,SC12,Les Mamelles,Distict,SC1224LM,25.0,13.0,14.0,18.0,21.0,21.0,28.0,25.0,20.0,17.0,23.0,24.0,9.0,26.0,26.0,20.0,27.0,30.0,15.0,19.0,18.0,17.0,18.0,26.0,23.0,29.0,25.0,23.0,21.0,28.0,19.0,20.0,12.0,19.0,17.0,22.0,23.0,22.0,17.0,19.0,19.0,13.0,30.0,25.0,24.0,25.0,25.0,12.0,21.0,21.0,17.0,21.0,20.0,30.0,19.0,15.0,20.0,21.0,20.0,26.0
8,Seychelles,SC,Mahe,Islands,SC1,Central 2 Mahe,Region,SC12,Roche Caiman,Distict,SC1225RC,22.0,24.0,20.0,23.0,29.0,22.0,19.0,18.0,22.0,21.0,17.0,17.0,16.0,20.0,26.0,31.0,25.0,23.0,26.0,45.0,60.0,61.0,40.0,49.0,48.0,69.0,50.0,56.0,46.0,54.0,24.0,15.0,16.0,35.0,28.0,17.0,22.0,20.0,23.0,21.0,22.0,13.0,18.0,28.0,21.0,21.0,29.0,23.0,35.0,24.0,21.0,24.0,29.0,20.0,25.0,25.0,21.0,11.0,23.0,28.0
9,Seychelles,SC,Mahe,Islands,SC1,East Mahe,Region,SC13,Anse Aux Pins,Distict,SC1301AA,53.0,32.0,27.0,26.0,23.0,38.0,24.0,31.0,24.0,30.0,26.0,26.0,37.0,30.0,39.0,24.0,43.0,33.0,26.0,22.0,35.0,45.0,22.0,25.0,33.0,32.0,26.0,34.0,27.0,36.0,36.0,36.0,34.0,29.0,33.0,29.0,26.0,29.0,19.0,33.0,27.0,23.0,24.0,38.0,32.0,38.0,34.0,40.0,30.0,34.0,33.0,18.0,34.0,28.0,46.0,33.0,37.0,21.0,21.0,31.0
10,Seychelles,SC,Mahe,Islands,SC1,East Mahe,Region,SC13,Au Cap,Distict,SC1304AC,38.0,39.0,38.0,34.0,19.0,43.0,27.0,29.0,30.0,42.0,28.0,32.0,30.0,44.0,45.0,41.0,40.0,39.0,53.0,37.0,40.0,47.0,43.0,34.0,43.0,38.0,46.0,46.0,41.0,42.0,25.0,30.0,30.0,27.0,36.0,33.0,25.0,18.0,35.0,30.0,20.0,25.0,37.0,32.0,29.0,29.0,42.0,39.0,34.0,31.0,27.0,25.0,28.0,28.0,29.0,29.0,41.0,26.0,27.0,33.0
