ADM2_PCODE,Area,Y_M_0,Y_M_1,Y_M_2,Y_M_3,Y_M_4,Y_M_5,Y_M_6,Y_M_7,Y_M_8,Y_M_9,Y_M_10,Y_M_11,Y_M_12,Y_M_13,Y_M_14,Y_M_15,Y_M_16,Y_M_17,Y_M_18,Y_M_19,Y_M_20,Y_M_21,Y_M_22,Y_M_23,Y_M_24,Y_M_25,Y_M_26,Y_M_27,Y_M_28,Y_M_29,Y_F_0,Y_F_1,Y_F_2,Y_F_3,Y_F_4,Y_F_5,Y_F_6,Y_F_7,Y_F_8,Y_F_9,Y_F_10,Y_F_11,Y_F_12,Y_F_13,Y_F_14,Y_F_15,Y_F_16,Y_F_17,Y_F_18,Y_F_19,Y_F_20,Y_F_21,Y_F_22,Y_F_23,Y_F_24,Y_F_25,Y_F_26,Y_F_27,Y_F_28,Y_F_29,Y_T_0,Y_T_1,Y_T_2,Y_T_3,Y_T_4,Y_T_5,Y_T_6,Y_T_7,Y_T_8,Y_T_9,Y_T_10,Y_T_11,Y_T_12,Y_T_13,Y_T_14,Y_T_15,Y_T_16,Y_T_17,Y_T_18,Y_T_19,Y_T_20,Y_T_21,Y_T_22,Y_T_23,Y_T_24,Y_T_25,Y_T_26,Y_T_27,Y_T_28,Y_T_29
UG3064,275206.143769508,2659.6640252236557,2709.5809772406933,2731.609413749392,2728.637748619507,2703.554395720793,2659.2477689230063,2598.6062820959,2524.5183491092293,2439.872383832749,2347.5568001362167,2248.7133807807986,2144.4839085276703,2046.4899527895025,1961.113189653215,1886.0021396628138,1808.2241027587893,1725.3261655331294,1666.903378244419,1644.780178209361,1644.0743663558292,1643.0146353004773,1651.8776413265473,1626.1307995848401,1543.3048185146122,1426.6047741654934,1316.8062959006804,1199.8757719509258,1120.7839940629076,1104.1344257474138,1125.3601942519635,3156.184396001083,2988.5972510199686,2837.149592879613,2700.7839800352567,2578.44297094214,2469.069124055505,2371.60499783059,2284.9931507226374,2208.176141186887,2140.0965276785796,2081.410295489509,2032.7734299114693,1984.561355216934,1932.2897761880374,1880.0415317896798,1830.5773203846206,1776.3772793162987,1748.6960725989638,1761.1145277480125,1794.9013667198344,1823.8717519356699,1860.6153724875703,1846.1196946660443,1750.7108750505681,1604.3835892219067,1465.2912967889997,1319.9852345592412,1200.8706035756095,1129.3593265635468,1088.6516893855132,5815.848421224739,5698.178228260662,5568.759006629005,5429.421728654764,5281.997366662933,5128.3168929785115,4970.2112799264905,4809.511499831867,4648.048525019636,4487.653327814796,4330.123676270307,4177.25733843914,4031.0513080064366,3893.4029658412524,3766.0436714524935,3638.80142314341,3501.703444849428,3415.599450843383,3405.894705957374,3438.975733075664,3466.886387236147,3512.4930138141176,3472.2504942508845,3294.0156935651803,3030.9883633874,2782.09759268968,2519.861006510167,2321.654597638517,2233.4937523109606,2214.011883637477
UG3065,311372.667884684,4260.2149805950785,4250.231248014761,4216.945184243848,4164.05513441927,4095.259443677949,4014.256457156818,3924.744519992803,3830.421977322829,3734.987174283827,3642.1384560127235,3538.0570515629115,3408.924189987788,3346.0237968419433,3388.088449429366,3486.26514463639,3569.8097834487685,3673.080963353447,3646.4757677372554,3414.854920953547,3056.3804091057796,2719.977736099562,2370.6108917403903,2100.5473013211704,1969.062924741122,1929.3475256599536,1871.4798364062847,1812.8420247961476,1767.5721401698668,1730.2130518577162,1698.011061253066,4445.755453871876,4356.412255052463,4262.177665248825,4164.263940217382,4063.883335714544,3962.2481074967313,3860.5705113203558,3760.062802941832,3661.9372381175767,3567.406072604003,3472.067523433716,3371.5198076393094,3295.045374596277,3255.084557508662,3236.0074959614362,3212.499252438332,3192.929121765972,3142.724164349731,3043.1685190817902,2911.331520205376,2783.3832447548516,2652.5515353433284,2526.286481100845,2412.084086969184,2305.5884857926917,2196.708937902654,2089.5769501472782,1980.0665249023677,1865.8100423604394,1751.3211364410215,8705.970434466955,8606.643503067224,8479.122849492673,8328.319074636653,8159.142779392493,7976.504564653549,7785.315031313159,7590.484780264662,7396.924412401404,7209.544528616727,7010.124574996627,6780.443997627097,6641.06917143822,6643.173006938028,6722.2726405978265,6782.3090358871,6866.010085119418,6789.199932086986,6458.023440035337,5967.7119293111555,5503.360980854413,5023.162427083718,4626.833782422015,4381.147011710306,4234.936011452645,4068.1887743089383,3902.418974943426,3747.6386650722343,3596.0230942181556,3449.3321976940874
UG3066,351369.389052066,4796.817656414222,4783.443729474659,4721.868714442192,4619.3305440977265,4483.067151222157,4320.316468596403,4138.316429001351,3944.304965217908,3745.5200100269776,3549.1994962094586,3344.654450812523,3121.1959008833314,2975.6963078714707,2951.247416025315,3001.30644092456,3042.5987165913652,3099.4110114503196,3093.7370800639146,2980.790278191954,2801.028139812647,2637.5492548693755,2471.1591994434275,2333.696255411349,2248.531187395736,2196.507505189813,2136.032531570928,2076.546295111692,2009.007829094153,1925.1112134797602,1831.9513576387674,4894.667325218733,4785.276784965733,4647.379285935208,4486.515308626368,4308.225333538422,4118.049841170576,3921.5293120220426,3724.2042265920304,3531.6150653797467,3349.302308884402,3169.3095582983087,2983.6804148137853,2865.4397554645097,2847.1218193634772,2893.7764490892173,2933.0655866673865,2973.6324499650073,3005.5038326422236,3014.517861155722,3002.0263488012606,2994.7716017446037,3000.879501944641,2931.9822467608224,2751.0616132201267,2501.510782182406,2259.2021763451926,2003.5145338065872,1808.432195436873,1716.7189814868118,1692.300709897015,9691.484981632955,9568.720514440392,9369.2480003774,9105.845852724095,8791.29248476058,8438.366309766978,8059.845741023393,7668.509191809939,7277.135075406724,6898.501805093861,6513.964009110832,6104.876315697116,5841.13606333598,5798.369235388793,5895.082890013777,5975.664303258752,6073.043461415327,6099.240912706138,5995.308139347676,5803.054488613908,5632.320856613979,5472.038701388068,5265.678502172172,4999.592800615863,4698.018287372219,4395.234707916121,4080.060828918279,3817.440024531026,3641.830194966572,3524.2520675357823
UG3067,155580.858091398,6248.377769320197,5722.118826764583,5281.098761342489,4916.419297494824,4619.182159662487,4380.489072286389,4191.441759807429,4043.1419466665116,3926.691357304544,3833.191716162426,3765.766283717401,3727.538320446705,3649.5018706095693,3498.71558657423,3302.345800890596,3123.3963312741203,2952.7417792222545,2782.6194838931783,2616.606951651038,2457.146074142709,2299.944873815651,2142.0741107780555,2016.9195473524037,1939.4823218105769,1894.5010705792122,1851.6967804849191,1817.105440568594,1777.9239308284455,1724.7161854149779,1663.7453960142736,5672.131558617562,5545.6972016090385,5384.200964686758,5193.316701038962,4978.718263853881,4746.079506319753,4501.074281624814,4249.3764429573,3996.659843505445,3748.59833645749,3502.604386835292,3256.090459660728,3056.037348953871,2924.6416842356903,2842.793154195322,2760.956094258739,2679.163168850131,2631.2941749779834,2626.043955192261,2643.901408222684,2665.3907634195584,2704.8833827174863,2674.997246574656,2533.5858374234135,2323.2971222597866,2127.010046363674,1925.8501735385662,1764.817342313937,1673.9331507690017,1629.9906347113215,11920.50932793776,11267.816028373622,10665.299726029247,10109.735998533786,9597.900423516367,9126.568578606142,8692.516041432242,8292.518389623812,7923.35120080999,7581.7900526199155,7268.370670552693,6983.628780107432,6705.53921956344,6423.35727080992,6145.1389550859185,5884.352425532859,5631.904948072386,5413.913658871162,5242.650906843299,5101.047482365393,4965.33563723521,4846.957493495542,4691.916793927059,4473.068159233991,4217.798192838999,3978.706826848593,3742.9556141071603,3542.7412731423824,3398.6493361839794,3293.736030725595
UG3068,179591.60847599801,4305.947544300805,4107.647568128454,3900.0061452471145,3686.199240568127,3469.4028190028307,3252.792845462559,3039.5452848586547,2832.8361021024566,2635.8412621053017,2451.736729778529,2271.817136097512,2087.377112037627,1960.9992921900305,1919.6223093379872,1930.7781265849449,1945.6049495736886,1986.52898756278,1960.4749837274278,1820.237080348553,1614.8606414432104,1429.3076074709518,1233.038452807972,1126.5185914255476,1163.9612118446398,1290.4087195903094,1402.5742428432827,1528.1758493793673,1591.8924522551292,1548.0883852875747,1436.9939445597463,3726.1990649581885,3714.1373556757894,3656.8443871966533,3560.904373170104,3432.9015272454635,3279.420063072062,3107.0441942992165,2922.3581345762536,2731.946097552497,2542.3922968772704,2346.7235019900613,2137.966482330352,1990.4926725966602,1938.0011748579868,1946.4038701341397,1950.8361740012826,1967.7781672946048,1954.3347277340897,1883.740890387484,1778.71102625188,1686.4845952476041,1594.9258541797722,1522.8741356597195,1483.5771015815385,1464.4698506674754,1441.8679109684006,1423.0618863414065,1389.134577253162,1329.1101732311758,1253.8526999616447,8032.1466092589935,7821.784923804244,7556.850532443768,7247.103613738231,6902.304346248295,6532.2129085346205,6146.589479157871,5755.19423667871,5367.787359657799,4994.129026655799,4618.540638087574,4225.343594367979,3951.491964786691,3857.623484195974,3877.1819967190845,3896.4411235749712,3954.307154857385,3914.8097114615175,3703.9779707360367,3393.5716676950906,3115.792202718556,2827.964306987744,2649.3927270852673,2647.5383134261783,2754.8785702577848,2844.442153811683,2951.237735720774,2981.027029508291,2877.1985585187504,2690.8466445213908
UG3069,163222.021335694,2575.8005166911316,2570.665691358322,2565.541557757974,2559.4350922611243,2551.3532712388082,2540.3030710620583,2525.291468101913,2505.3254387294064,2479.4119593155733,2446.55800623145,2410.4602403850945,2374.8153226845657,2315.1818068157822,2221.1873000757337,2105.907832446522,1991.4524582043136,1871.7921244031227,1771.1139539990604,1703.186666534214,1656.5988349655986,1607.8812592728311,1563.780915337616,1512.7428891997768,1447.3271825030613,1375.345371759456,1307.189014130156,1234.9477769344765,1190.1371131221106,1187.6098978012105,1209.3641847212766,2384.594643330323,2334.072334085884,2286.5821340223683,2241.487035494181,2198.1500308557247,2155.934112461405,2114.202272665626,2072.317503822791,2029.642798287305,1985.5411484135718,1944.2262601118516,1909.9118392924047,1857.7073105303555,1777.2742390683943,1682.5277579284948,1590.1538879039538,1487.7343684529283,1433.5384564110482,1455.3423634810629,1522.0160368844986,1580.8822426056088,1649.9512640061166,1664.4539197389686,1589.2295079152523,1458.100213903374,1336.0147699071572,1205.1424434216517,1109.231615055711,1075.037686312749,1078.0001311013407,4960.395160021455,4904.738025444206,4852.123691780342,4800.922127755305,4749.503302094533,4696.2371835234635,4639.493740767539,4577.642942552197,4509.054757602878,4432.099154645021,4354.686500496946,4284.727161976971,4172.889117346138,3998.461539144128,3788.435590375017,3581.6063461082676,3359.526492856051,3204.6524104101086,3158.529030015277,3178.614871850097,3188.76350187844,3213.7321793437327,3177.1968089387456,3036.5566904183133,2833.44558566283,2643.203784037313,2440.090220356128,2299.3687281778216,2262.6475841139595,2287.3643158226173
UG2027,138249.659320176,5128.018458450116,4994.6215256669575,4837.869602332284,4661.029724466905,4467.36892809162,4260.154249227234,4042.6527238945505,3818.131388114371,3589.857277907501,3361.097429294742,3133.2571979822314,2907.741939676101,2697.1270919704994,2508.403051515567,2339.251813388101,2177.9109245264094,2023.7880137568145,1899.4471530725302,1814.0125125686534,1757.3112263678725,1707.4199336397778,1665.5717167208427,1634.0332981654867,1610.695173224674,1592.5864703010889,1581.4572542327091,1580.0912300754535,1559.8455636196486,1507.6184169187597,1436.4967347475797,4719.686569410843,4736.448819560397,4685.064047818462,4574.939977797853,4415.484333111374,4216.104837371839,3986.2092141920525,3735.2051871848294,3472.500479962976,3207.502816139303,2935.4981604331924,2651.772477564024,2436.3422856117495,2326.858825976033,2290.3645455894007,2250.1318624025503,2214.1637477267445,2198.8916866825166,2202.4111485923363,2215.7938412709523,2236.0547101028715,2268.6372142818673,2258.0398461553596,2177.8288291923996,2052.3578592340023,1934.9545847041866,1818.001687180615,1702.8730332819905,1596.6043915808884,1498.73887644902,9847.705027860959,9731.070345227356,9522.933650150746,9235.969702264758,8882.853261202994,8476.259086599071,8028.861938086603,7553.3365752992,7062.357757870477,6568.600245434045,6068.755358415424,5559.514417240125,5133.469377582249,4835.2618774916,4629.6163589775015,4428.04278692896,4237.951761483559,4098.338839755047,4016.4236611609895,3973.105067638825,3943.4746437426493,3934.20893100271,3892.073144320846,3788.5240024170735,3644.944329535091,3516.411838936896,3398.092917256068,3262.718596901639,3104.222808499648,2935.2356111965996
UG3070,358982.35591566,4687.697218937591,4634.677698256656,4544.8136739013,4422.976730853158,4274.038454093877,4102.870428605091,3914.3442393684404,3713.3314713655645,3504.703709578105,3293.332538987698,3078.989510590674,2861.446175383352,2671.0742882739482,2522.94550221473,2406.631300231395,2293.4189364135113,2185.19586876254,2101.754317161022,2048.834086565642,2017.2543470321848,1992.6289540925368,1978.476525159665,1955.8332791466767,1913.9925072364306,1860.9828326949998,1813.8602132599574,1767.19820816901,1728.8535653304784,1703.7885047340185,1685.895922477115,4569.458513312819,4444.095470968189,4301.249178665179,4143.922915047559,3975.11995875909,3797.843588443546,3615.0970827446868,3429.88372030628,3245.206779772094,3064.0695397858926,2888.358735221135,2719.9611009512773,2567.4626344716326,2436.099701966584,2325.5259507689725,2221.037981243747,2114.6316563777136,2064.3473330994425,2094.0865775963084,2172.713877770888,2248.042131643862,2333.9287311776648,2372.407125800847,2330.41532055194,2234.744605914388,2147.233540311227,2057.8967396316043,1961.937039728766,1863.933823562889,1764.1429574574051,9257.15573225041,9078.773169224845,8846.06285256648,8566.899645900718,8249.158412852967,7900.714017048636,7529.441322113127,7143.215191671845,6749.910489350199,6357.402078773591,5967.348245811809,5581.407276334629,5238.536922745581,4959.045204181313,4732.157251000368,4514.456917657259,4299.827525140254,4166.101650260464,4142.92066416195,4189.968224803073,4240.671085736399,4312.40525633733,4328.2404049475235,4244.407827788371,4095.7274386093877,3961.0937535711846,3825.094947800614,3690.7906050592446,3567.7223282969076,3450.03887993452
UG3071,179082.988359947,4770.1274294267705,4593.899890130022,4419.378549745517,4247.076491654781,4077.506799239338,3911.182555880715,3748.616844960435,3590.3227498600254,3436.8133539610094,3288.601740644915,3143.449797729775,2999.119413033627,2869.8796477554433,2761.745976403724,2666.977895669532,2576.5567748456924,2497.971156605977,2396.856827870704,2257.0247578734247,2097.1632123089025,1949.1060059747215,1802.834197915024,1695.0138198173286,1645.9438763397047,1637.0192282707408,1624.6250101937549,1611.8313293354397,1611.7117322239842,1624.5572169629315,1642.3225822379193,4881.898704348241,4678.936603554578,4477.361947101123,4278.291423608168,4082.8417216960033,3892.129529984928,3707.271537095233,3529.384431647212,3359.5849022611587,3198.9896375573676,3045.9950456194088,2898.9975345308517,2772.7151955956087,2673.7052785074206,2594.9236302764098,2520.47873745221,2450.8007698047936,2390.4390102060534,2339.1629044402002,2293.309304039843,2250.6901529538245,2213.2365082328997,2161.6715331246974,2086.635818928088,1996.4432017778904,1909.0972061176085,1821.3934625876138,1735.6131533855455,1654.8293338975973,1577.5437665455752,9652.026133775013,9272.836493684601,8896.74049684664,8525.367915262948,8160.348520935341,7803.312085865643,7455.8883820556675,7119.707181507238,6796.398256222168,6487.591378202283,6189.444843349183,5898.116947564478,5642.594843351052,5435.451254911144,5261.901525945941,5097.035512297903,4948.771926410771,4787.295838076758,4596.187662313625,4390.472516348746,4199.796158928546,4016.070706147924,3856.685352942026,3732.579695267793,3633.462430048631,3533.7222163113634,3433.2247919230535,3347.3248856095297,3279.3865508605286,3219.8663487834947
UG3072,231928.542017704,14341.274942485485,13954.78380668806,13552.263166882794,13138.335088470854,12717.621636853395,12294.744877431584,11874.326875606575,11460.989696779534,11059.355406351617,10674.046069723987,10286.102646362222,9876.566095731896,9567.964012912087,9412.08067517511,9342.79483011538,9266.541999287232,9231.244339858455,9025.023458396974,8542.320130835069,7894.075591938265,7283.303360154718,6653.216403332687,6173.99563902433,5945.638101696495,5879.00086772947,5787.093426885044,5709.893218628883,5593.5593530259885,5393.332113224377,5142.633723539305,14352.229308734952,13954.523276004265,13544.632746270763,13127.397170812,12707.656000905517,12290.24868782888,11880.014682859626,11481.793437275313,11100.424402353487,10740.747029371689,10384.31725237724,10012.691005417399,9747.125325921026,9639.026699626185,9623.384026119653,9603.830194864348,9623.699198704744,9495.357781083776,9123.372792914886,8604.78379294614,8111.030474679235,7582.585282214335,7206.421599334386,7084.75688154786,7114.3911346275845,7114.164144929977,7149.4166384942355,7013.747838809649,6595.544230693327,6009.643551087311,28693.504251220438,27909.307082692325,27096.89591315356,26265.732259282857,25425.27763775891,24584.99356526046,23754.3415584662,22942.783134054847,22159.779808705105,21414.793099095674,20670.419898739463,19889.257101149295,19315.089338833113,19051.107374801293,18966.178856235034,18870.37219415158,18854.9435385632,18520.38123948075,17665.692923749957,16498.859384884403,15394.333834833953,14235.801685547023,13380.417238358716,13030.394983244354,12993.392002357054,12901.257571815022,12859.309857123118,12607.307191835636,11988.876343917706,11152.277274626616
