fid,Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,F_25_to_29sum,M_5_to_9sum,F_5_to_9sum,F_10_to_14sum,M_30_to_34sum,M_25_to_29sum,F_20_to_24sum,F_35_to_39sum,F_15_to_19sum,M_35_to_39sum,F_1_to_4sum,M_10_to_14sum,M_15_to_19sum,M_20_to_24sum,F_30_to_34sum,M_1_to_4sum,F_0_to_1sum,M_0_to_1sum,Area
"1",2.7129334044,0.223823529459,Abim,UG3064,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,6204.15815087291,12569.8015840971,11473.9399414742,9911.07638859563,5501.9728585924,5866.96068191389,8885.70128336176,3416.05368139746,8911.66656676773,3734.25779444352,11288.5533554805,10286.802571414,8489.30819110153,7890.93266889197,4696.57965695718,11331.6426338297,2972.60483539756,2201.40392672434,275206.143769508
"2",2.71110981687,0.253353214549,Adjumani,UG3065,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,9883.48359175376,19146.548584769,18812.2247324805,16629.7247591394,7997.46839655691,8880.11811448308,12679.8938339609,6192.06953653682,15502.6525778412,6044.67758086568,17383.2144111325,17167.3586324584,17360.6018445988,11089.5463795622,7353.9729032953,16692.5821490092,3909.27823897259,4294.12384194171,311372.667884684
"3",3.13289101349,0.285815844062,Agago,UG3066,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,9480.16859697248,19697.6573690521,18644.7007540488,14759.3279970293,7950.19002797431,9978.6492268953,14180.2057458526,6442.40188069362,14928.7460792316,6386.17680975399,18432.4848632505,15394.1005165172,15017.5652261102,11887.4434023097,7846.52171177976,18572.6142754559,4689.57917503396,4831.91352019506,351369.389052066
"4",2.87571126041,0.126491803833,Alebtong,UG3067,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,9121.6013476965,20374.9558522273,21241.7884108648,15582.1670338809,7586.58127506869,8835.18773331121,12902.1543523949,6708.31231395341,13341.3588015018,6536.78296951484,21310.6903211549,17943.8678622385,13932.5106201833,10292.9219243359,7456.0580190029,21016.4676458985,5463.3743686513,5770.72916868608,155580.858091398
"5",1.8897940495,0.145958766001,Amolatar,UG3068,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,6837.02724775579,14212.7522243075,14583.1607863773,10359.5877019092,6065.37671835069,7507.7248743251,7752.33153733611,4740.0036421502,9535.40098566934,5593.63460060861,13809.2031983659,10170.5939762481,9327.70664265566,6243.23458313942,5389.56561129354,15415.7177994661,4281.7835098803,4053.48551778123,179591.608475998
"6",2.82592116953,0.132668001079,Amudat,UG3069,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,5803.42664579861,12496.8899434404,10357.6378356507,9171.6474069315,5929.99674694752,6129.24798670923,7942.61714816932,2904.06324317888,7488.78511313349,3871.81283188798,9402.36769138509,11427.5525024077,8994.14403810631,7507.07761807274,4964.3576469454,10619.9864880261,2042.51848640339,2202.80964128126,163222.021335694
"7",2.65959006268,0.112382613228,Amuria,UG2027,,,,Eastern,UG2,Uganda,UG,2020/06/11,2020/08/24,,8551.1725731967,19071.8930684384,18617.522534851,12640.8362951744,6396.6246166667,7665.50919959415,10992.9184589665,5768.05008293875,11081.3922866751,6035.79764718283,17968.6310465112,13585.7810945325,9672.46983029228,8210.30659205187,6280.34643700905,18537.5249335486,5162.99270118773,5551.38330545928,138249.659320176
"8",4.619184698,0.292045431983,Amuru,UG3070,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,9795.14410069189,18528.5823879049,17152.1007110525,12937.4081233796,7973.56102334813,8699.59641397058,11519.5379150887,5199.51474580873,10666.8174260881,6474.1989604336,17024.3212962747,13541.0867766941,10646.4575559349,9701.91409833031,7274.87117382174,17538.5306939916,4409.52474047814,5025.67308205098,358982.35591566
"9",2.30967552218,0.145564551678,Apac,UG3071,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,8698.47692253394,17975.5372453071,17687.3600385459,13986.3366845297,8078.78891765233,8115.04787095403,10708.6772150174,5043.9498734423,11994.1907259431,5676.93930141185,17492.6568753952,14441.1727305921,11825.5727295047,8729.91712831752,6741.42622376699,17169.8982087281,4906.67352491291,4938.09095146833,179082.988359947
"10",3.16319067253,0.188680135395,Arua,UG3072,,,,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,33882.5164040145,57363.4629258933,57493.228239689,49406.5443094615,22603.9401697339,27626.5118353036,37099.1853724034,21578.6174097294,46451.0437605139,18210.8442804525,53219.6906923996,48485.5082602967,43959.205520316,31935.1543719377,23655.4028972751,53779.0680460781,14466.7478103279,13925.2105953025,231928.542017704
