,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,Male_0,Male_1,Male_2,Male_3,Male_4,Male_5,Male_6,Male_7,Male_8,Male_9,Male_10,Male_11,Male_12,Male_13,Male_14,Male_15,Male_16,Male_17,Male_18,Male_19,Male_20,Male_21,Male_22,Male_23,Male_24,Male_25,Male_26,Male_27,Male_28,Male_29,Female_0,Female_1,Female_2,Female_3,Female_4,Female_5,Female_6,Female_7,Female_8,Female_9,Female_10,Female_11,Female_12,Female_13,Female_14,Female_15,Female_16,Female_17,Female_18,Female_19,Female_20,Female_21,Female_22,Female_23,Female_24,Female_25,Female_26,Female_27,Female_28,Female_29
0,Uganda,UG,Central,UG1,BUIKWE,UG1001,8070,7620,8030,7760,7800,7520,7380,7330,6680,6560,7060,6180,6660,6650,6410,6100,6180,6290,6060,5590,5400,4620,4700,4340,4020,4030,3610,3440,3360,3070,7560,7360,7670,7560,7580,6950,6840,6710,6410,6140,6540,6110,6440,6340,6260,6080,6160,6020,5650,5490,5350,4850,4920,4810,4530,4430,4250,4080,4140,3790
1,Uganda,UG,Central,UG1,BUKOMANSIMBI,UG1002,2520,2690,2700,2660,2750,2810,2720,2510,2490,2650,2720,2670,2650,2690,2400,2190,2150,1990,1730,1390,1470,1100,1140,1130,980,1020,830,810,810,720,2360,2530,2430,2530,2500,2590,2300,2160,2190,2310,2300,2260,2380,2440,2120,1950,1850,1590,1520,1270,1200,1130,1110,1170,1010,1040,1020,1000,970,940
2,Uganda,UG,Central,UG1,BUTAMBALA,UG1003,1710,1850,1950,2000,2030,1920,1890,1850,1760,1750,2000,1680,1810,1890,1660,1630,1400,1410,1300,1000,1160,740,760,830,700,870,550,630,560,470,1610,1670,1820,1850,1870,1780,1560,1560,1590,1440,1580,1480,1620,1770,1490,1400,1370,1290,1200,1040,1000,790,770,890,720,840,670,750,710,590
3,Uganda,UG,Central,UG1,BUVUMA,UG1004,2840,2650,2710,2700,2380,1990,2010,1860,1680,1440,1440,1050,1170,1140,1360,1010,1120,1010,1250,1050,1430,1070,1300,1130,1260,1370,1190,1320,1710,1000,2630,2490,2620,2470,2190,2040,1960,1800,1600,1410,1480,1090,1290,1130,1200,840,940,880,1230,1180,1720,1210,1390,1130,1140,1290,1030,1210,1330,1010
4,Uganda,UG,Central,UG1,GOMBA,UG1005,3220,3250,3130,3090,3020,2990,2820,2790,2590,2810,2800,2770,2650,2880,2690,2510,2390,2240,2100,1780,1820,1550,1450,1520,1240,1320,1080,1200,1120,860,2920,2840,2770,2950,2680,2700,2500,2500,2420,2280,2440,2370,2370,2490,2180,1940,1830,1720,1560,1430,1460,1280,1250,1340,1140,1210,1070,1210,1040,1030
5,Uganda,UG,Central,UG1,KALANGALA,UG1006,1360,1220,1120,1130,890,700,690,600,500,500,500,350,430,420,410,350,410,420,570,510,730,670,1020,850,960,960,900,1030,1370,930,1150,1130,1120,1000,870,670,670,570,490,450,450,330,400,360,420,310,320,390,530,590,870,640,820,760,810,850,780,790,1010,650
6,Uganda,UG,Central,UG1,KALUNGU,UG1007,3130,3250,3190,3320,3280,3280,3220,3160,3030,3170,3120,3190,3020,3210,2810,2780,2650,2470,2280,1860,1750,1490,1510,1380,1210,1310,1170,1150,1010,910,3000,2970,3060,3080,3190,3200,2860,2700,2720,2770,2770,2870,2870,2940,2640,2500,2410,2410,2090,1830,1670,1480,1500,1520,1420,1420,1370,1280,1280,1200
7,Uganda,UG,Central,UG1,KAMPALA,UG1008,28180,24830,25220,24820,22680,20620,19950,19280,16810,15720,16310,13200,13760,13590,15660,13650,15360,16030,18420,17460,24470,19950,24440,22250,24640,24270,19150,19990,21970,14670,24890,22130,23120,22700,21040,19070,18950,18030,17120,15900,16330,14030,16220,16640,20450,19680,22120,22800,27500,26510,35820,28200,32180,28040,29830,28740,22830,22530,25390,16200
8,Uganda,UG,Central,UG1,KASSANDA,UG1009,5990,5810,5980,6410,5890,5550,5650,5470,5310,4740,5400,4040,4890,4470,5090,3890,4040,3510,3900,2850,3850,2420,3020,2600,2630,2730,2140,2200,2580,1590,5230,4980,5290,5530,5240,4740,5050,4580,4900,4120,4690,3630,4560,4190,4600,3320,3340,2860,3650,2870,3800,2280,3100,2520,2490,2400,1980,2050,2370,1470
9,Uganda,UG,Central,UG1,KAYUNGA,UG1010,7180,6900,7260,7410,7260,7050,7220,6760,6800,6470,6800,6190,6530,6510,6230,5840,5680,5400,4870,4410,3980,3260,3090,2920,2730,2600,2350,2250,2310,2010,7050,6740,6890,6960,6740,6670,6370,5990,6180,5750,6030,5800,6060,5980,5670,4990,4860,4710,4420,4120,3900,3420,3370,3230,2970,2890,2780,2790,3010,2710
10,Uganda,UG,Central,UG1,KIBOGA,UG1011,3900,3000,2900,2910,2740,2770,2660,2560,2450,2520,2530,2560,2340,2430,2320,2210,1990,2200,2190,2130,2000,1910,1840,1790,1600,1550,1420,1290,1130,1090,4050,3100,2710,2760,2640,2560,2430,2240,2310,2220,2120,2200,2150,2220,2150,2030,1900,1840,1800,1680,1670,1610,1480,1520,1400,1310,1360,1320,1190,1040
